Station,More Link
Achleiten AT,/results/AT207019_HYDRO?symbol%5BQ%5D=Q
Admont (Enns) AT,/results/AT210823_HYDRO?symbol%5BQ%5D=Q
Ágerdőmajor HU,/results/HU444507_HYDRO?symbol%5BQ%5D=Q
Akasztó  (D-v-fcs) HU,/results/HU442676_HYDRO?symbol%5BQ%5D=Q
Alba Iulia RO,/results/RO44612_HYDRO?symbol%5BQ%5D=Q
Alexandria RO,/results/RO42471_HYDRO?symbol%5BQ%5D=Q
Algyő HU,/results/HU444576_HYDRO?symbol%5BQ%5D=Q
Almár HU,/results/HU444324_HYDRO?symbol%5BQ%5D=Q
Amlach AT,/results/AT213215_HYDRO?symbol%5BQ%5D=Q
Ampermoching DE,/results/DE16606009_HYDRO?symbol%5BQ%5D=Q
Angern an der March AT,/results/AT207324_HYDRO?symbol%5BQ%5D=Q
Arad RO,/results/RO44622_HYDRO?symbol%5BQ%5D=Q
Árpás HU,/results/HU442133_HYDRO?symbol%5BQ%5D=Q
Augsburg uh Wertach DE,/results/DE12006000_HYDRO?symbol%5BQ%5D=Q
Babócsai Rinya Babócsa HU,/results/HU446601_HYDRO?symbol%5BQ%5D=Q
Bad Ischl (Maxquelle) AT,/results/AT205153_HYDRO?symbol%5BQ%5D=Q
Baja HU,/results/HU442031_HYDRO?symbol%5BQ%5D=Q
Bakonszeg zsilip alvíz HU,/results/HU444663_HYDRO?symbol%5BQ%5D=Q
Bakonybánk HU,/results/HU442620_HYDRO?symbol%5BQ%5D=Q
Balassagyarmat HU,/results/HU442172_HYDRO?symbol%5BQ%5D=Q
Banja Luka BA,/results/BA45628_HYDRO?symbol%5BQ%5D=Q
Batina HR,/results/HR5170_HYDRO?symbol%5BQ%5D=Q
Bazias RO,/results/RO42001_HYDRO?symbol%5BQ%5D=Q
Békés HU,/results/HU444361_HYDRO?symbol%5BQ%5D=Q
Beli Brod RS,/results/RS45910_HYDRO?symbol%5BQ%5D=Q
Belišće HR,/results/HR5005_HYDRO?symbol%5BQ%5D=Q
Berettyóújfalu HU,/results/HU444382_HYDRO?symbol%5BQ%5D=Q
Berg DE,/results/DE6_HYDRO?symbol%5BQ%5D=Q
Bernhardsthal (Staatsgrenzpunkt IX) AT,/results/AT207290_HYDRO?symbol%5BQ%5D=Q
